Time,HF from Skin Temp Vic 1,HF from Skin Temp Vic 3,"Vic 1, surface necrosis","Vic 3, surface necrosis","Vic 1, 2 mm necrosis","Vic 3, 2 mm Necrosis","Vic 1, 10 mm necrosis","Vic 3, 10 mm necrosis",Vic 1 necrosis depth,Vic 3 necrosis depth
-5.1,0,0,6.89880838953336e-08,6.89880838953336e-08,6.898808389532381e-08,6.898808389532381e-08,6.898808389533558e-08,6.898808389533558e-08,0.0,0
-5.083333333333333,0,0,1.380346786541262e-07,1.380346786541262e-07,1.3805014968966598e-07,1.3805014968966598e-07,1.380501545595836e-07,1.380501545595836e-07,0.0,0
-5.066666666666666,0,0,2.0714716908307527e-07,2.0714716908307527e-07,2.0718616269623762e-07,2.0718616269623762e-07,2.0718619431839217e-07,2.0718619431839217e-07,0.0,0
-5.05,0,0,2.763276329156927e-07,2.763276329156927e-07,2.7639607159730604e-07,2.7639607159730604e-07,2.76396185398719e-07,2.76396185398719e-07,0.0,0
-5.033333333333333,0,0,3.4557706925552576e-07,3.4557706925552576e-07,3.456798088634328e-07,3.456798088634328e-07,3.456801099290496e-07,3.456801099290496e-07,0.0,0
-5.016666666666667,0,0,4.1489608929937246e-07,4.1489608929937246e-07,4.1503729462931225e-07,4.1503729462931225e-07,4.150379499396054e-07,4.150379499396054e-07,0.0,0
-5.0,0,0,4.842851138043128e-07,4.842851138043128e-07,4.844684418009413e-07,4.844684418009413e-07,4.844696873625458e-07,4.844696873625458e-07,0.0,0
-4.983333333333333,0,0,5.537444532247053e-07,5.537444532247053e-07,5.539731607826622e-07,5.539731607826622e-07,5.539753040321859e-07,5.539753040321859e-07,0.0,0
-4.966666666666667,0,0,6.232743473392024e-07,6.232743473392024e-07,6.235513630994439e-07,6.235513630994439e-07,6.235547816851942e-07,6.235547816851942e-07,0.0,0
-4.95,0,0,6.928749874162452e-07,6.928749874162452e-07,6.93202963808001e-07,6.93202963808001e-07,6.932081019608101e-07,6.932081019608101e-07,0.0,0
-4.933333333333334,0,0,7.625465297141495e-07,7.625465297141495e-07,7.629278828853765e-07,7.629278828853765e-07,7.629352464010511e-07,7.629352464010511e-07,0.0,0
-4.916666666666667,0,0,8.322891042365516e-07,8.322891042365516e-07,8.327260458651062e-07,8.327260458651062e-07,8.327361964509223e-07,8.327361964509223e-07,0.0,0
-4.9,0,0,9.021028206926462e-07,9.021028206926462e-07,9.025973839697613e-07,9.025973839697613e-07,9.026109334586209e-07,9.026109334586209e-07,0.0,0
-4.883333333333334,0,0,9.719877727140912e-07,9.719877727140912e-07,9.725418339331783e-07,9.725418339331783e-07,9.725594386757513e-07,9.725594386757513e-07,0.0,0
-4.866666666666667,0,0,1.0419440409339049e-06,1.0419440409339049e-06,1.0425593376488113e-06,1.0425593376488113e-06,1.0425816932575238e-06,1.0425816932575238e-06,0.0,0
-4.8500000000000005,0,0,1.1119716952940518e-06,1.1119716952940518e-06,1.112649841734666e-06,1.112649841734666e-06,1.1126776782629771e-06,1.1126776782629771e-06,0.0,0
-4.833333333333334,0,0,1.1820707968136772e-06,1.1820707968136772e-06,1.182813297071493e-06,1.182813297071493e-06,1.1828473746551762e-06,1.1828473746551762e-06,0.0,0
-4.816666666666667,0,0,1.2522413989699553e-06,1.2522413989699553e-06,1.2530496583479008e-06,1.2530496583479008e-06,1.2530907633014308e-06,1.2530907633014308e-06,0.0,0
-4.800000000000001,0,0,1.3224835487942989e-06,1.3224835487942989e-06,1.3233588836310632e-06,1.3233588836310632e-06,1.3234078249734877e-06,1.3234078249734877e-06,0.0,0
-4.783333333333334,0,0,1.392797287755184e-06,1.392797287755184e-06,1.393740933972055e-06,1.393740933972055e-06,1.3937985403477537e-06,1.3937985403477537e-06,0.0,0
-4.7666666666666675,0,0,1.4631826524782322e-06,1.4631826524782322e-06,1.4641957730491945e-06,1.4641957730491945e-06,1.4642628900054938e-06,1.4642628900054938e-06,0.0,0
-4.750000000000001,0,0,1.533639675340154e-06,1.533639675340154e-06,1.5347233668492722e-06,1.5347233668492722e-06,1.5348008544330242e-06,1.5348008544330242e-06,0.0,0
-4.733333333333334,0,0,1.6041683849636928e-06,1.6041683849636928e-06,1.6053236833847583e-06,1.6053236833847583e-06,1.6054124140219376e-06,1.6054124140219376e-06,0.0,0
-4.716666666666668,0,0,1.6747688066337974e-06,1.6747688066337974e-06,1.6759966924441205e-06,1.6759966924441205e-06,1.6760975490692858e-06,1.6760975490692858e-06,0.0,0
-4.700000000000001,0,0,1.7454409626504387e-06,1.7454409626504387e-06,1.7467423653720154e-06,1.7467423653720154e-06,1.7468562397777833e-06,1.7468562397777833e-06,0.0,0
-4.6833333333333345,0,0,1.8161848726299785e-06,1.8161848726299785e-06,1.8175606748761311e-06,1.8175606748761311e-06,1.8176884662559882e-06,1.8176884662559882e-06,0.0,0
-4.666666666666668,0,0,1.8870005537643766e-06,1.8870005537643766e-06,1.8884515948575842e-06,1.8884515948575842e-06,1.8885942085185014e-06,1.8885942085185014e-06,0.0,0
-4.650000000000001,0,0,1.957888021045484e-06,1.957888021045484e-06,1.959415100262004e-06,1.959415100262004e-06,1.95957344648613e-06,1.95957344648613e-06,0.0,0
-4.633333333333335,0,0,2.028847287460319e-06,2.028847287460319e-06,2.0304511669487645e-06,2.0304511669487645e-06,2.0306261599860817e-06,2.0306261599860817e-06,0.0,0
-4.616666666666668,0,0,2.09987836416193e-06,2.09987836416193e-06,2.1015597715760317e-06,2.1015597715760317e-06,2.1017523287521117e-06,2.1017523287521117e-06,0.0,0
-4.600000000000001,0,0,2.1709812606196557e-06,2.1709812606196557e-06,2.1727408914996717e-06,2.1727408914996717e-06,2.1729519324246984e-06,2.1729519324246984e-06,0.0,0
