Time,HF from Skin Temp Vic 1,HF from Skin Temp Vic 3,"Vic 1, surface necrosis","Vic 3, surface necrosis","Vic 1, 2 mm necrosis","Vic 3, 2 mm Necrosis","Vic 1, 10 mm necrosis","Vic 3, 10 mm necrosis",Vic 1 necrosis depth,Vic 3 necrosis depth
-5.016666666666667,0,0,1.379761677906515e-07,1.379761677906515e-07,1.379761677906672e-07,1.379761677906672e-07,1.3797616779067115e-07,1.3797616779067115e-07,0.0,0
-4.983333333333333,0,0,2.7620413665593826e-07,2.7620413665593826e-07,2.762482956993776e-07,2.762482956993776e-07,2.762484405336017e-07,2.762484405336017e-07,0.0,0
-4.95,0,0,4.147054417152311e-07,4.147054417152311e-07,4.1481590103937206e-07,4.1481590103937206e-07,4.1481667585806345e-07,4.1481667585806345e-07,0.0,0
-4.916666666666667,0,0,5.534857335929898e-07,5.534857335929898e-07,5.536783712854938e-07,5.536783712854938e-07,5.536807298163182e-07,5.536807298163182e-07,0.0,0
-4.883333333333334,0,0,6.925477149589597e-07,6.925477149589597e-07,6.928350583114674e-07,6.928350583114674e-07,6.92840456890309e-07,6.92840456890309e-07,0.0,0
-4.8500000000000005,0,0,8.318930126725052e-07,8.318930126725052e-07,8.32285345101048e-07,8.32285345101048e-07,8.322957099983603e-07,8.322957099983603e-07,0.0,0
-4.816666666666667,0,0,9.715227194476716e-07,9.715227194476716e-07,9.72028677554352e-07,9.72028677554352e-07,9.720463405018451e-07,9.720463405018451e-07,0.0,0
-4.783333333333334,0,0,1.1114376167580034e-06,1.1114376167580034e-06,1.1120645722908145e-06,1.1120645722908145e-06,1.112092198211852e-06,1.112092198211852e-06,0.0,0
-4.750000000000001,0,0,1.251638285757218e-06,1.251638285757218e-06,1.2523926120949007e-06,1.2523926120949007e-06,1.2524331313958095e-06,1.2524331313958095e-06,0.0,0
-4.716666666666668,0,0,1.3921251695230768e-06,1.3921251695230768e-06,1.3930124365929682e-06,1.3930124365929682e-06,1.3930689867840696e-06,1.3930689867840696e-06,0.0,0
-4.6833333333333345,0,0,1.5328986110433877e-06,1.5328986110433877e-06,1.5339237321057406e-06,1.5339237321057406e-06,1.5339996095763125e-06,1.5339996095763125e-06,0.0,0
-4.650000000000001,0,0,1.6739588778866944e-06,1.6739588778866944e-06,1.6751262223792381e-06,1.6751262223792381e-06,1.6752248434478014e-06,1.6752248434478014e-06,0.0,0
-4.616666666666668,0,0,1.8153061790150843e-06,1.8153061790150843e-06,1.816619660742329e-06,1.816619660742329e-06,1.8167445305553898e-06,1.8167445305553898e-06,0.0,0
-4.583333333333335,0,0,1.956940676690278e-06,1.956940676690278e-06,1.9584038237188597e-06,1.9584038237188597e-06,1.9585585115431655e-06,1.9585585115431655e-06,0.0,0
